treatment_num,salinity_treat,temp_treat,replicate_num,spore_release_date,analysis_date,days_post_release,settled_spore_count,settled_germ_tube_spores,area_um2,settled_spore_density,germ_tube_density,settlement_density,gam_count,gam_density,gam_percent_cover,avg_gam_size_um2,stdev_gam_size,gam_growth_rate,male_gam,female_gam,m_f_ratio,sporophyte_height_mm,blade_num,blade_length,blade_width,blade_thickness,blade_area,cross_sec_num,cell_type,cell_num,cell_area,chlorophyll_conc
1,amb,amb,1,2024-04-30,2024-05-02,2,14,22,33.27064,0.420791425,0.661243667,1.082035092,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-02,2,11,13,33.27064,0.330621834,0.390734894,0.721356728,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-02,2,50,13,33.27064,1.502826516,0.390734894,1.89356141,,,,,,,,,,,,,,,,,,,,
1,amb,amb,4,2024-04-30,2024-05-02,2,27,1,33.27064,0.811526319,0.03005653,0.841582849,,,,,,,,,,,,,,,,,,,,
1,amb,amb,5,2024-04-30,2024-05-02,2,25,33,33.27064,0.751413258,0.991865501,1.743278759,,,,,,,,,,,,,,,,,,,,
1,amb,amb,6,2024-04-30,2024-05-02,2,21,15,33.27064,0.631187137,0.450847955,1.082035092,,,,,,,,,,,,,,,,,,,,
2,amb,inc,1,2024-04-30,2024-05-02,2,8,2,33.27064,0.240452243,0.060113061,0.300565303,,,,,,,,,,,,,,,,,,,,
2,amb,inc,2,2024-04-30,2024-05-02,2,30,3,33.27064,0.90169591,0.090169591,0.991865501,,,,,,,,,,,,,,,,,,,,
2,amb,inc,3,2024-04-30,2024-05-02,2,13,14,33.27064,0.390734894,0.420791425,0.811526319,,,,,,,,,,,,,,,,,,,,
2,amb,inc,4,2024-04-30,2024-05-02,2,24,23,33.27064,0.721356728,0.691300197,1.412656925,,,,,,,,,,,,,,,,,,,,
2,amb,inc,5,2024-04-30,2024-05-02,2,19,20,33.27064,0.571074076,0.601130606,1.172204683,,,,,,,,,,,,,,,,,,,,
2,amb,inc,6,2024-04-30,2024-05-02,2,16,8,33.27064,0.480904485,0.240452243,0.721356728,,,,,,,,,,,,,,,,,,,,
3,dec,amb,1,2024-04-30,2024-05-02,2,9,15,33.27064,0.270508773,0.450847955,0.721356728,,,,,,,,,,,,,,,,,,,,
3,dec,amb,2,2024-04-30,2024-05-02,2,11,11,33.27064,0.330621834,0.330621834,0.661243667,,,,,,,,,,,,,,,,,,,,
3,dec,amb,3,2024-04-30,2024-05-02,2,22,10,33.27064,0.661243667,0.300565303,0.96180897,,,,,,,,,,,,,,,,,,,,
3,dec,amb,4,2024-04-30,2024-05-02,2,11,14,33.27064,0.330621834,0.420791425,0.751413258,,,,,,,,,,,,,,,,,,,,
3,dec,amb,5,2024-04-30,2024-05-02,2,13,30,33.27064,0.390734894,0.90169591,1.292430804,,,,,,,,,,,,,,,,,,,,
3,dec,amb,6,2024-04-30,2024-05-02,2,18,23,33.27064,0.541017546,0.691300197,1.232317743,,,,,,,,,,,,,,,,,,,,
4,dec,inc,1,2024-04-30,2024-05-02,2,18,0,33.27064,0.541017546,0,0.541017546,,,,,,,,,,,,,,,,,,,,
4,dec,inc,2,2024-04-30,2024-05-02,2,14,5,33.27064,0.420791425,0.150282652,0.571074076,,,,,,,,,,,,,,,,,,,,
4,dec,inc,3,2024-04-30,2024-05-02,2,14,6,33.27064,0.420791425,0.180339182,0.601130606,,,,,,,,,,,,,,,,,,,,
4,dec,inc,4,2024-04-30,2024-05-02,2,21,14,33.27064,0.631187137,0.420791425,1.051978561,,,,,,,,,,,,,,,,,,,,
4,dec,inc,5,2024-04-30,2024-05-02,2,26,18,33.27064,0.781469788,0.541017546,1.322487334,,,,,,,,,,,,,,,,,,,,
4,dec,inc,6,2024-04-30,2024-05-02,2,33,10,33.27064,0.991865501,0.300565303,1.292430804,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-02,9,,,47.15128,,,,23,0.487791636,0.223300,0.004577,0.001166,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-02,9,,,48.03175,,,,21,0.437210803,0.182200,0.004168,0.000684,,,,,,,,,,,,,,,
