spore_release_date,date,days_post_release,treatment,salinity_treat,temp_treat,replicate,num_removed,count,total
2024-04-30,2025-01-08,253,1,amb,amb,1,0,63,63
2024-04-30,2025-01-08,253,1,amb,amb,2,0,28,28
2024-04-30,2025-01-08,253,1,amb,amb,3,0,53,53
2024-04-30,2025-01-08,253,1,amb,amb,4,0,47,47
2024-04-30,2025-01-08,253,1,amb,amb,5,0,53,53
2024-04-30,2025-01-08,253,1,amb,amb,6,0,47,47
2024-04-30,2025-01-08,253,2,amb,inc,1,0,6,6
2024-04-30,2025-01-08,253,2,amb,inc,2,0,0,0
2024-04-30,2025-01-08,253,2,amb,inc,3,0,0,0
2024-04-30,2025-01-08,253,2,amb,inc,4,0,0,0
2024-04-30,2025-01-08,253,2,amb,inc,5,0,0,0
2024-04-30,2025-01-08,253,2,amb,inc,6,0,36,36
2024-04-30,2025-01-08,253,3,dec,amb,1,0,20,20
2024-04-30,2025-01-08,253,3,dec,amb,2,0,0,0
2024-04-30,2025-01-08,253,3,dec,amb,3,0,0,0
2024-04-30,2025-01-08,253,3,dec,amb,4,0,0,0
2024-04-30,2025-01-08,253,3,dec,amb,5,0,0,0
2024-04-30,2025-01-08,253,3,dec,amb,6,0,2,2
2024-04-30,2025-01-08,253,4,dec,inc,1,0,0,0
2024-04-30,2025-01-08,253,4,dec,inc,2,0,0,0
2024-04-30,2025-01-08,253,4,dec,inc,3,0,0,0
2024-04-30,2025-01-08,253,4,dec,inc,4,0,0,0
2024-04-30,2025-01-08,253,4,dec,inc,5,0,0,0
2024-04-30,2025-01-08,253,4,dec,inc,6,0,0,0
2024-04-30,2025-01-10,255,1,amb,amb,1,17,46,63
2024-04-30,2025-01-10,255,1,amb,amb,2,1,27,28
2024-04-30,2025-01-10,255,1,amb,amb,3,3,50,53
2024-04-30,2025-01-10,255,1,amb,amb,4,3,44,47
2024-04-30,2025-01-10,255,1,amb,amb,5,1,52,53
2024-04-30,2025-01-10,255,1,amb,amb,6,7,40,47
2024-04-30,2025-01-10,255,2,amb,inc,1,0,6,6
2024-04-30,2025-01-10,255,2,amb,inc,2,0,0,0
2024-04-30,2025-01-10,255,2,amb,inc,3,0,0,0
2024-04-30,2025-01-10,255,2,amb,inc,4,0,40,40
2024-04-30,2025-01-10,255,2,amb,inc,5,0,0,0
2024-04-30,2025-01-10,255,2,amb,inc,6,1,35,36
2024-04-30,2025-01-10,255,3,dec,amb,1,1,19,20
2024-04-30,2025-01-10,255,3,dec,amb,2,0,0,0
2024-04-30,2025-01-10,255,3,dec,amb,3,0,0,0
2024-04-30,2025-01-10,255,3,dec,amb,4,0,0,0
2024-04-30,2025-01-10,255,3,dec,amb,5,0,0,0
2024-04-30,2025-01-10,255,3,dec,amb,6,0,2,2
2024-04-30,2025-01-10,255,4,dec,inc,1,0,0,0
2024-04-30,2025-01-10,255,4,dec,inc,2,0,0,0
2024-04-30,2025-01-10,255,4,dec,inc,3,0,0,0
2024-04-30,2025-01-10,255,4,dec,inc,4,0,0,0
2024-04-30,2025-01-10,255,4,dec,inc,5,0,0,0
2024-04-30,2025-01-10,255,4,dec,inc,6,0,0,0
2024-04-30,2025-03-14,318,1,amb,amb,1,17,30,47
2024-04-30,2025-03-14,318,1,amb,amb,2,1,22,23
2024-04-30,2025-03-14,318,1,amb,amb,3,3,33,36
2024-04-30,2025-03-14,318,1,amb,amb,4,3,39,42
2024-04-30,2025-03-14,318,1,amb,amb,5,1,47,48
2024-04-30,2025-03-14,318,1,amb,amb,6,7,2,9
2024-04-30,2025-03-14,318,2,amb,inc,1,0,1,1
2024-04-30,2025-03-14,318,2,amb,inc,2,0,0,0
2024-04-30,2025-03-14,318,2,amb,inc,3,0,0,0
2024-04-30,2025-03-14,318,2,amb,inc,4,0,54,54
2024-04-30,2025-03-14,318,2,amb,inc,5,0,57,57
2024-04-30,2025-03-14,318,2,amb,inc,6,1,19,20
2024-04-30,2025-03-14,318,3,dec,amb,1,1,15,16
2024-04-30,2025-03-14,318,3,dec,amb,2,0,2,2
2024-04-30,2025-03-14,318,3,dec,amb,3,0,4,4
2024-04-30,2025-03-14,318,3,dec,amb,4,0,1,1
2024-04-30,2025-03-14,318,3,dec,amb,5,0,0,0
2024-04-30,2025-03-14,318,3,dec,amb,6,0,2,2
2024-04-30,2025-03-14,318,4,dec,inc,1,0,1,1
2024-04-30,2025-03-14,318,4,dec,inc,2,0,0,0
2024-04-30,2025-03-14,318,4,dec,inc,3,0,0,0
2024-04-30,2025-03-14,318,4,dec,inc,4,0,0,0
2024-04-30,2025-03-14,318,4,dec,inc,5,0,1,1
2024-04-30,2025-03-14,318,4,dec,inc,6,0,0,0
