treatment_num,salinity_treat,temp_treat,replicate_num,spore_release_date,analysis_date,days_post_release,settled_spore_count,settled_germ_tube_spores,area_um2,settled_spore_density,germ_tube_density,settlement_density_per_um2,settlement_density,view,image,oogonia_count,oogonia_density_per_um2,oogonia_density,gam_count,gam_density_per_um2,gam_density,gam_percent_cover,sex,m_f_ratio,gam_number,gam_size_wrong,gam_size_um2,sporophyte_count,sporophyte_density_per_um2,sporophyte_density,sporophyte_percent_cover,sporophyte_num,sporophyte_size_wrong_um2_next_is_mm2,sporophyte_size_um2,sporophyte_height_mm,blade_num,blade_wet_mass,blade_dry_mass,blade_length_cm,blade_width_cm,blade_thickness_mm,blade_area_cm2,cross_sec_num,cell_type,cell_num,cell_area_wrong,cell_area_um2
1,amb,amb,1,2024-04-30,2024-05-02,2,14,22,3327.064,0.004207914,0.006612437,0.010820351,10820.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-02,2,11,13,3327.064,0.003306218,0.003907349,0.007213567,7213.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-02,2,50,13,3327.064,0.015028265,0.003907349,0.018935614,18935.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,amb,amb,4,2024-04-30,2024-05-02,2,27,1,3327.064,0.008115263,0.000300565,0.008415828,8415.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,amb,amb,5,2024-04-30,2024-05-02,2,25,33,3327.064,0.007514133,0.009918655,0.017432788,17432.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,amb,amb,6,2024-04-30,2024-05-02,2,21,15,3327.064,0.006311871,0.00450848,0.010820351,10820.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,amb,inc,1,2024-04-30,2024-05-02,2,8,2,3327.064,0.002404522,0.000601131,0.003005653,3005.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,amb,inc,2,2024-04-30,2024-05-02,2,30,3,3327.064,0.009016959,0.000901696,0.009918655,9918.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,amb,inc,3,2024-04-30,2024-05-02,2,13,14,3327.064,0.003907349,0.004207914,0.008115263,8115.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,amb,inc,4,2024-04-30,2024-05-02,2,24,23,3327.064,0.007213567,0.006913002,0.014126569,14126.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,amb,inc,5,2024-04-30,2024-05-02,2,19,20,3327.064,0.005710741,0.006011306,0.011722047,11722.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,amb,inc,6,2024-04-30,2024-05-02,2,16,8,3327.064,0.004809045,0.002404522,0.007213567,7213.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,dec,amb,1,2024-04-30,2024-05-02,2,9,15,3327.064,0.002705088,0.00450848,0.007213567,7213.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,dec,amb,2,2024-04-30,2024-05-02,2,11,11,3327.064,0.003306218,0.003306218,0.006612437,6612.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,dec,amb,3,2024-04-30,2024-05-02,2,22,10,3327.064,0.006612437,0.003005653,0.00961809,9618.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,dec,amb,4,2024-04-30,2024-05-02,2,11,14,3327.064,0.003306218,0.004207914,0.007514133,7514.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,dec,amb,5,2024-04-30,2024-05-02,2,13,30,3327.064,0.003907349,0.009016959,0.012924308,12924.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,dec,amb,6,2024-04-30,2024-05-02,2,18,23,3327.064,0.005410175,0.006913002,0.012323177,12323.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,dec,inc,1,2024-04-30,2024-05-02,2,18,0,3327.064,0.005410175,0,0.005410175,5410.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,dec,inc,2,2024-04-30,2024-05-02,2,14,5,3327.064,0.004207914,0.001502827,0.005710741,5710.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,dec,inc,3,2024-04-30,2024-05-02,2,14,6,3327.064,0.004207914,0.001803392,0.006011306,6011.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,dec,inc,4,2024-04-30,2024-05-02,2,21,14,3327.064,0.006311871,0.004207914,0.010519786,10519.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,dec,inc,5,2024-04-30,2024-05-02,2,26,18,3327.064,0.007814698,0.005410175,0.013224873,13224.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,dec,inc,6,2024-04-30,2024-05-02,2,33,10,3327.064,0.009918655,0.003005653,0.012924308,12924.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,1,IMG_1151,,,,23,0.004877916,4877.916358,0.223281319,,,1,0.00489,0.489,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,1,IMG_1151,,,,23,0.004877916,4877.916358,0.223281319,,,2,0.00343,0.343,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,1,IMG_1151,,,,23,0.004877916,4877.916358,0.223281319,,,3,0.00414,0.414,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,1,IMG_1151,,,,23,0.004877916,4877.916358,0.223281319,,,4,0.00296,0.296,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,1,IMG_1151,,,,23,0.004877916,4877.916358,0.223281319,,,5,0.00446,0.446,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,2,IMG_1152,,,,23,0.004877916,4877.916358,0.223281319,,,6,0.00545,0.545,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,2,IMG_1152,,,,23,0.004877916,4877.916358,0.223281319,,,7,0.00373,0.373,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,2,IMG_1152,,,,23,0.004877916,4877.916358,0.223281319,,,8,0.00625,0.625,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,2,IMG_1152,,,,23,0.004877916,4877.916358,0.223281319,,,9,0.00281,0.281,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,2,IMG_1152,,,,23,0.004877916,4877.916358,0.223281319,,,10,0.00523,0.523,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,2,IMG_1152,,,,23,0.004877916,4877.916358,0.223281319,,,11,0.00767,0.767,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,2,IMG_1152,,,,23,0.004877916,4877.916358,0.223281319,,,12,0.00502,0.502,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,3,IMG_1153,,,,23,0.004877916,4877.916358,0.223281319,,,13,0.00367,0.367,,,,,,,,,,,,,,,,,,,,
